GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Apollo 13 (Sega 1995),Apollo 13 (Sega 1995),Apollo 13 (Sega 1995),,Sega,1995,6,SS,,Disaster - Space,http://www.ipdb.org/machine.cgi?id=3592,3592,,Joe Balcer,"Balater, Herweh, Francisco666, Arngrim, ClarkKent, Bigus1, Chucky87, 32assassin",1.53,apollo13,
Aqualand (Juegos Populares 1986),Aqualand (Juegos Populares 1986),Aqualand (Juegos Populares 1986),,Juegos Populares,1986,4,SS,,Amusement Park - Water,http://www.ipdb.org/machine.cgi?id=http://ipdb.org/machine.cgi?id=3935,3935,,?,Hmueck,1.0,aqualand,
Aquarius (Gottlieb 1970),Aquarius (Gottlieb 1970),Aquarius (Gottlieb 1970),,Gottlieb,1970,1,EM,,Astrology,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=79,79,,Ed Krynski,"Loserman76, GNance, Arngrim",1.0a,,
Aristocrat (Williams 1979),Aristocrat (Williams 1979),Aristocrat (Williams 1979),,Williams,1979,,SS,,Arcade - Bowler,https://www.arcade-museum.com/game_detail.php?game_id=17602,17602,,?,Rascal,1.1,arist_l1,
Arizona (LTD 1977),Arizona (LTD 1977),Arizona (LTD 1977),,LTD,1977,2,SS,,American West,https://www.ipdb.org/machine.cgi?id=5890,5890,,?,"Mfuegemann, CarlosGuizzo, Boituva Pinball Club",1.1,arizona,
Aspen (Brunswick 1979),Aspen (Brunswick 1979),Aspen (Brunswick 1979),,Brunswick,1979,4,SS,,Sports - Snow Skiing,http://www.ipdb.org/machine.cgi?id=3660,3660,,?,Updon,1.3a,,
Asteroid Annie and the Aliens (Gottlieb 1980),Asteroid Annie and the Aliens (Gottlieb 1980),Asteroid Annie and the Aliens (Gottlieb 1980),,Gottlieb,1980,1,SS,,Aliens - Outer Space - Fantasy - Playing Cards - Poker,http://www.ipdb.org/machine.cgi?id=98,98,,John Buras,"BorgDog, HauntFreaks",1.1,astannie,
Asteroids (Original 2016),Asteroids (Original 2016),Asteroids (Original 2016),,Original,2016,,SS,,-,Not Available,,,?,TheGhost787,1.0,,
Astral Defender (Original 2018),Astral Defender (Original 2018),Astral Defender (Original 2018),,Original,2018,,SS,,-,Not Available,,,?,Ronimhoff,1.0,,
Astro (Gottlieb 1971),Astro (Gottlieb 1971),Astro (Gottlieb 1971),,Gottlieb,1971,1,EM,,Outer Space,http://www.ipdb.org/machine.cgi?id=99,99,,Ed Krynski,BorgDog,1.2,,
